"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"email",-0.0932147936864651,0.496446106291825,0.0338538689216934,0.0435921452638054,0.0484552675927744,-0.0777449787930809,-0.390859176451122,0.320727959680434,0.612201624075198,0.0383372832627476,-0.113780585043056,0.291303857812403,0.00775655832544818,-0.0604292353062485
"phone",-0.133950570905185,0.195078564425411,0.628048780546303,0.39338581294018,0.412721727074321,0.0931648979547135,0.333273508476195,-0.00504339829104491,-0.0469818326086612,0.164105372846548,-0.115474509171009,-0.0708364011373132,0.239016087909237,0.00834421314042275
"virtual_meeting",-0.153804264898149,0.617563167602179,-0.318525841551197,-0.011646173353124,-0.211355296280418,0.196689801686416,0.042131834607595,-0.0332109784848649,-0.440303087276028,0.407472833490506,0.10254848949322,0.0139331624396875,0.183920686025966,-0.0518803810638241
"inperson_meeting",-0.207339335603836,0.330048458098449,0.440957618156968,-0.207687461567489,-0.229927894307612,-0.041113327021676,-0.318313654600882,-0.337916968073792,-0.173164910158679,-0.36113126094408,-0.0450750904228281,-0.220163568983378,-0.235287279467453,0.272335035853745
"small_social",-0.320078259178437,-0.231833698430656,0.0432114234763863,0.248045555601443,0.109129162144285,-0.15733327150595,-0.31041671454603,-0.32380648537244,-0.00410421170252681,0.316214392841683,0.534512987742104,0.345207308667303,-0.0766632791849074,0.178267342262313
"large_social",-0.363178447144063,-0.199290485313498,-0.260501972124484,0.361347743642981,0.079778436663599,0.147210057377391,-0.451248086764881,-0.0790404238209764,-0.00067430078118148,-0.037098347883477,-0.333078677970778,-0.455474148532656,0.216301846631388,-0.159631725126699
"formal_meeting",-0.444469118062261,-0.0957548903356962,-0.0045080406911325,0.23314956776134,-0.252547528550461,0.470014827878734,0.205882429009058,0.409724804597402,-0.0402452144707328,-0.359030693294381,0.167047722471397,0.200202796579369,-0.192901687487516,0.0906813079739133
"no_training",-0.0968850908889609,0.136969735747321,-0.18362229273243,0.175100070059664,0.0498595765799423,-0.174258501861887,0.183321991331387,-0.465169441171429,-0.0649046500863782,-0.459147123029881,-0.199823997074372,0.474072400845296,0.103845649758894,-0.366260755695868
"hands_training",-0.235522804004927,0.0303857825030069,0.168364013913627,-0.0344019171783313,-0.148016025330514,-0.373703710632869,0.0879446635570488,0.168617568582795,0.00138898500093326,0.0262613425996595,0.331727724770384,-0.300305299193207,-0.182643227437279,-0.694312417087795
"distributor_training",-0.286789592721703,-0.114096071139844,-0.0011056662422487,-0.0909029768751939,0.118517710744295,-0.466039953030853,-0.0455846880448588,0.368325071646582,-0.425877902111965,0.138097244096823,-0.458291938733044,0.238085064015164,-0.201050786706323,0.141095643452343
"contractor_training",-0.43140392041401,0.064761923036568,-0.21927575865336,-0.551570250411183,0.583907447571848,0.0798034495483083,0.164357718263833,-0.0418927136857741,0.125573328088482,-0.125770010121416,0.157769051486779,-0.12213514480401,0.0684680858270491,0.0722308261652953
"large_training",-0.273901224949282,-0.201530254118666,0.165552478696467,-0.292169443563771,-0.292505924404136,0.280580980864318,0.16465582723726,-0.302572388379565,0.275946252982682,0.433646710829244,-0.380370117896466,0.138438692748927,-0.163214668270836,-0.184294720158966
"small_training",-0.210035618383281,-0.144690974098082,0.11898529015267,-0.175020500055392,-0.397869082589325,-0.274662097525633,0.0803242826731257,0.0888739274085116,0.0995154216272517,-0.0801370349774874,0.0607157321067533,0.0356298534603984,0.768092569969745,0.175564518376296
"virtual_training",-0.149897479363797,0.155212308033671,-0.295035072763847,0.30543137296273,-0.156436374030263,-0.360295804500864,0.432078789070829,-0.145476365979866,0.331823993696678,0.0633467923804097,-0.0579470770764061,-0.296290444495933,-0.240608448590022,0.38445638609392
